Any;Comarca;Valors
2012;Moianès;
2013;Moianès;
2014;Moianès;
2015;Moianès;69
2016;Moianès;73
2017;Moianès;69
2018;Moianès;76
2019;Moianès;92
2020;Moianès;92
2021;Moianès;95
2022;Moianès;103
2023;Moianès;117
2001;Montsià;321
2002;Montsià;328
2003;Montsià;346
2004;Montsià;363
2005;Montsià;365
2006;Montsià;374
2007;Montsià;380
2008;Montsià;388
2009;Montsià;412
2010;Montsià;441
2011;Montsià;468
2012;Montsià;503
2013;Montsià;529
2014;Montsià;545
2015;Montsià;560
2016;Montsià;588
2017;Montsià;620
2018;Montsià;665
2019;Montsià;735
2020;Montsià;749
2021;Montsià;813
2022;Montsià;874
2023;Montsià;929
2001;Noguera;232
2002;Noguera;248
2003;Noguera;262
2004;Noguera;267
2005;Noguera;272
2006;Noguera;277
2007;Noguera;273
2008;Noguera;277
2009;Noguera;279
2010;Noguera;282
2011;Noguera;286
2012;Noguera;301
2013;Noguera;310
2014;Noguera;319
2015;Noguera;317
2016;Noguera;322
2017;Noguera;324
2018;Noguera;329
2019;Noguera;339
2020;Noguera;356
2021;Noguera;373
2022;Noguera;397
2023;Noguera;417
2001;Osona;663
2002;Osona;684
2003;Osona;707
2004;Osona;726
2005;Osona;750
2006;Osona;768
2007;Osona;800
2008;Osona;820
2009;Osona;852
2010;Osona;881
2011;Osona;927
2012;Osona;951
2013;Osona;1003
2014;Osona;1020
2015;Osona;1042
2016;Osona;1067
2017;Osona;1133
2018;Osona;1184
2019;Osona;1250
2020;Osona;1258
2021;Osona;1310
2022;Osona;1388
2023;Osona;1.566
2001;Pallars Jussà;59
2002;Pallars Jussà;61
2003;Pallars Jussà;65
2004;Pallars Jussà;68
2005;Pallars Jussà;79
2006;Pallars Jussà;80
2007;Pallars Jussà;78
2008;Pallars Jussà;78
2009;Pallars Jussà;80
2010;Pallars Jussà;82
2011;Pallars Jussà;81
2012;Pallars Jussà;79
2013;Pallars Jussà;81
2014;Pallars Jussà;83
2015;Pallars Jussà;81
2016;Pallars Jussà;84
2017;Pallars Jussà;84
2018;Pallars Jussà;84
2019;Pallars Jussà;91
2020;Pallars Jussà;96
2021;Pallars Jussà;98
2022;Pallars Jussà;108
2023;Pallars Jussà;116
2001;Pallars Sobirà;27
2002;Pallars Sobirà;28
2003;Pallars Sobirà;28
2004;Pallars Sobirà;29
2005;Pallars Sobirà;28
2006;Pallars Sobirà;30
2007;Pallars Sobirà;31
2008;Pallars Sobirà;34
2009;Pallars Sobirà;36
2010;Pallars Sobirà;33
2011;Pallars Sobirà;32
2012;Pallars Sobirà;33
2013;Pallars Sobirà;31
2014;Pallars Sobirà;32
2015;Pallars Sobirà;34
2016;Pallars Sobirà;33
2017;Pallars Sobirà;33
2018;Pallars Sobirà;33
2019;Pallars Sobirà;30
2020;Pallars Sobirà;30
2021;Pallars Sobirà;32
2022;Pallars Sobirà;31
2023;Pallars Sobirà;32
2001;Pla de l'Estany;191
2002;Pla de l'Estany;210
2003;Pla de l'Estany;219
2004;Pla de l'Estany;225
2005;Pla de l'Estany;213
2006;Pla de l'Estany;215
2007;Pla de l'Estany;232
2008;Pla de l'Estany;240
2009;Pla de l'Estany;260
2010;Pla de l'Estany;233
2011;Pla de l'Estany;242
2012;Pla de l'Estany;248
2013;Pla de l'Estany;255
2014;Pla de l'Estany;255
2015;Pla de l'Estany;260
2016;Pla de l'Estany;272
2017;Pla de l'Estany;300
2018;Pla de l'Estany;325
2019;Pla de l'Estany;340
2020;Pla de l'Estany;360
2021;Pla de l'Estany;383
2022;Pla de l'Estany;422
2023;Pla de l'Estany;443
2001;Pla d'Urgell;185
2002;Pla d'Urgell;188
2003;Pla d'Urgell;204
2004;Pla d'Urgell;207
2005;Pla d'Urgell;227
2006;Pla d'Urgell;228
2007;Pla d'Urgell;230
2008;Pla d'Urgell;231
2009;Pla d'Urgell;223
2010;Pla d'Urgell;275
2011;Pla d'Urgell;273
2012;Pla d'Urgell;290
2013;Pla d'Urgell;301
2014;Pla d'Urgell;306
2015;Pla d'Urgell;310
2016;Pla d'Urgell;314
2017;Pla d'Urgell;328
2018;Pla d'Urgell;347
2019;Pla d'Urgell;356
2020;Pla d'Urgell;360
2021;Pla d'Urgell;378
2022;Pla d'Urgell;382
2023;Pla d'Urgell;402
2001;Priorat;76
2002;Priorat;76
2003;Priorat;77
2004;Priorat;79
2005;Priorat;76
2006;Priorat;79
2007;Priorat;74
2008;Priorat;79
2009;Priorat;79
2010;Priorat;79
2011;Priorat;77
2012;Priorat;77
2013;Priorat;76
2014;Priorat;79
2015;Priorat;81
2016;Priorat;86
2017;Priorat;88
2018;Priorat;92
2019;Priorat;92
2020;Priorat;97
2021;Priorat;99
2022;Priorat;99
2023;Priorat;107
2001;Ribera d'Ebre;125
2002;Ribera d'Ebre;127
2003;Ribera d'Ebre;123
2004;Ribera d'Ebre;127
2005;Ribera d'Ebre;127
2006;Ribera d'Ebre;126
2007;Ribera d'Ebre;121
2008;Ribera d'Ebre;127
2009;Ribera d'Ebre;127
2010;Ribera d'Ebre;138
2011;Ribera d'Ebre;144
2012;Ribera d'Ebre;148
2013;Ribera d'Ebre;148
2014;Ribera d'Ebre;142
2015;Ribera d'Ebre;147
2016;Ribera d'Ebre;166
2017;Ribera d'Ebre;178
2018;Ribera d'Ebre;185
2019;Ribera d'Ebre;210
2020;Ribera d'Ebre;209
2021;Ribera d'Ebre;236
2022;Ribera d'Ebre;260
2023;Ribera d'Ebre;273
2001;Ripollès;201
2002;Ripollès;202
2003;Ripollès;204
2004;Ripollès;204
2005;Ripollès;203
2006;Ripollès;207
2007;Ripollès;209
2008;Ripollès;216
2009;Ripollès;221
2010;Ripollès;223
2011;Ripollès;229
2012;Ripollès;228
2013;Ripollès;230
2014;Ripollès;224
2015;Ripollès;225
2016;Ripollès;233
2017;Ripollès;245
2018;Ripollès;257
2019;Ripollès;261
2020;Ripollès;264
2021;Ripollès;281
2022;Ripollès;288
2023;Ripollès;303
2001;Segarra;82
2002;Segarra;89
2003;Segarra;93
2004;Segarra;100
2005;Segarra;104
2006;Segarra;104
2007;Segarra;103
2008;Segarra;106
2009;Segarra;115
2010;Segarra;114
2011;Segarra;123
2012;Segarra;132
2013;Segarra;137
2014;Segarra;145
2015;Segarra;157
2016;Segarra;165
2017;Segarra;172
2018;Segarra;177
2019;Segarra;183
2020;Segarra;194
2021;Segarra;203
2022;Segarra;212
2023;Segarra;203
2001;Segrià;1342
2002;Segrià;1374
2003;Segrià;1411
2004;Segrià;1468
2005;Segrià;1496
2006;Segrià;1550
2007;Segrià;1595
2008;Segrià;1638
2009;Segrià;1656
2010;Segrià;1706
2011;Segrià;1772
2012;Segrià;1861
2013;Segrià;1889
2014;Segrià;1942
2015;Segrià;1966
2016;Segrià;2012
2017;Segrià;2049
2018;Segrià;2120
2019;Segrià;2199
