id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1099778520701093709,Playa de Toña by Urdaibai Rentals,560437652,Yolanda,Vizcaya,Sukarrieta,43.394811922,-2.696651646,Entire home/apt,83,1,1,2024-03-24,0.30,1,360,1,
1099810614407752867,Alai by FeelFreeRentals,124008929,FeelFree Rentals,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32352299244106,-1.9775537197424937,Entire home/apt,418,2,0,,,126,117,0,
1099916476588767285,Hab. para dos personas,433922238,Pablo,Ãlava,Vitoria-Gasteiz,42.8594693,-2.6743368,Private room,25,1,15,2024-06-23,3.72,2,328,15,
1099988780601991445,Habitación cálida,517347973,Carmen,Ãlava,Vitoria-Gasteiz,42.8428485,-2.6906835,Private room,38,1,24,2024-06-23,6.21,2,5,24,
1100486737999547548,Etxeburu (Apto Casco Viejo),69923417,Sofía,Vizcaya,Bilbao,43.2566912,-2.9247262,Entire home/apt,120,2,8,2024-05-24,2.58,11,139,8,
1100587779846403068,Telletxe Residence,485801266,Inmohost,Vizcaya,Getxo,43.35398802168382,-3.009993191526925,Entire home/apt,121,3,3,2024-05-03,0.93,13,194,3,EBI02113
1100619177654895902,"Nuevo lujo centro Bilbao, wifi",265841481,Carmelo,Vizcaya,Bilbao,43.25902609300366,-2.9356578326150586,Entire home/apt,231,2,6,2024-06-27,2.25,1,31,6,E.BI-978
1100676816363477893,Kukutegi 2: Habitación doble con baño y ducha,525082309,Ruben,GuipÃºzcoa,Lezo,43.329489416292844,-1.866388863258448,Private room,62,2,5,2024-05-28,1.67,3,84,5,
1101312972507308834,Habitación 15 minutos del centro en autobus,469405942,Júnio,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.319105953481156,-1.954046023900538,Private room,65,1,23,2024-06-16,6.11,1,165,23,
1101392178813989265,Alde-zahar.,117422992,Basquenjoy,GuipÃºzcoa,Hondarribia,43.36226982444714,-1.7931474654923725,Entire home/apt,155,2,0,,,19,91,0,ESS03255
1101469317597211910,Cozy Room in Vintage Apartment,363276813,Anabelle,Ãlava,Vitoria-Gasteiz,42.85865987260854,-2.661341405969696,Private room,55,1,0,,,1,262,0,
1101559270535381298,"Beachfront flat in Gros, Donostia-San Sebastian",448026523,Oasis,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32622,-1.972187,Entire home/apt,115,15,1,2024-05-15,0.64,8,208,1,
1101559321148556380,Apartamento familiar en el centro de San Sebastián,448026523,Oasis,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.315327,-1.980706,Entire home/apt,176,1,1,2024-06-21,1,8,30,1,ESS02443
1101648533874204126,Centrico Wifi junto  Guggenheim,184661672,Iratxe,Vizcaya,Bilbao,43.265561778104725,-2.9330763303614997,Entire home/apt,182,1,2,2024-05-10,1.02,1,313,2,EBI02824
1101967744322593634,CASA ADAKA - cerca de San Sebastián,564464445,Maddi,GuipÃºzcoa,Oiartzun,43.295003,-1.846726,Entire home/apt,957,2,0,,,1,124,0,
1101972545242238164,Luminoso apartamento en San Sebastián,564593269,Borja,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3231954,-1.9461411,Entire home/apt,151,2,19,2024-06-29,5.76,1,89,19,ESS03427
1102024083444192307,Kostoenea - Ekilore rural apartment by the sea,391290229,Nadia,GuipÃºzcoa,Hondarribia,43.36596,-1.81587,Entire home/apt,167,2,1,2024-03-31,0.33,2,210,1,
1102081263305693710,"Atalaya Best , amplio piso cerca del mar",348197632,Uriartebidaurreta,Vizcaya,Bermeo,43.4227225,-2.7230266,Entire home/apt,113,2,0,,,27,338,0,EBI02196
1102247129940715596,Apartamento Arregui Cómodo y Funcional,564666948,Joseba Andoni,Vizcaya,Bilbao,43.2682774958976,-2.9235113832386137,Entire home/apt,97,2,7,2024-06-11,2.00,1,344,7,EBI02791
1102653902939297252,Ekain - baskeyrentals,270035241,BasKey,GuipÃºzcoa,Zestoa,43.24154785160902,-2.25923269445857,Entire home/apt,60,2,2,2024-06-07,1.20,48,167,2,
1102675180124314173,Telmo - baskeyrentals,270035241,BasKey,GuipÃºzcoa,Zumaia,43.29709,-2.26062,Entire home/apt,96,2,4,2024-05-28,1.26,48,122,4,
1102746039342755891,Alquilo piso playa/piscina 1 min,29099119,Iker,Vizcaya,Sopelana,43.39266,-2.98695,Entire home/apt,151,1,2,2024-06-16,2,2,154,2,
1102783925652146718,Triunfo Suite Ii by Sweet Home San Sebastian,2470030,Vanesa,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31541009652537,-1.9856590291685858,Entire home/apt,91,1,1,2024-06-27,1,26,33,1,
1102801718141742521,Apartamento luminoso y amplio frente a la playa,563568652,Alaia,Vizcaya,Ondarroa,43.323278802719074,-2.422545148675069,Entire home/apt,150,2,11,2024-06-21,3.47,1,212,11,
1102807132651584602,Apartamento premium 1 dormitorio,408288773,Bilbao Apartamentos,Vizcaya,Bilbao,43.2493939,-2.9202094,Entire home/apt,140,1,0,,,9,120,0,
1102848085159563011,Apartamento premium 2 dormitorios 4 pax,408288773,Bilbao Apartamentos,Vizcaya,Bilbao,43.2493939,-2.9202094,Entire home/apt,160,1,0,,,9,120,0,
1102856144702647921,Apartamento premium 2 dormitorios 5 pax,408288773,Bilbao Apartamentos,Vizcaya,Bilbao,43.2493939,-2.9202094,Entire home/apt,170,1,0,,,9,120,0,
1102859500770995408,Apartamento premium 2 dormitorios con terraza 4pax,408288773,Bilbao Apartamentos,Vizcaya,Bilbao,43.2493939,-2.9202094,Entire home/apt,170,1,0,,,9,120,0,
1102862199585325272,Apartamento premium 2 dormitorios con terraza 5pax,408288773,Bilbao Apartamentos,Vizcaya,Bilbao,43.2493939,-2.9202094,Entire home/apt,180,1,0,,,9,120,0,
1103451725840871214,Habitación en piso confortable,560382254,Mikel,Vizcaya,Portugalete,43.321800221944216,-3.0246826372219378,Private room,39,2,0,,,1,74,0,
1103454099654134695,Piso céntrico en Vitoria,513384110,Álexy,Ãlava,Vitoria-Gasteiz,42.84810862259179,-2.6743710643774974,Entire home/apt,171,1,2,2024-06-23,0.65,2,352,2,
1103525389654217035,"Céntrica, espaciosa y cómoda",427502368,Ane,GuipÃºzcoa,Getaria,43.30329406373618,-2.205197819942594,Entire home/apt,192,2,3,2024-06-25,0.98,1,204,3,ESS03416
1104175053036670742,Estudio Gros Txofre,230227560,Menchu,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3235359,-1.9699928,Entire home/apt,89,32,0,,,2,73,0,
1104370920416353147,Apartamento de ensueño,99295887,Cristian,Vizcaya,Plentzia,43.387543066290235,-2.9230107329425223,Entire home/apt,107,2,6,2024-06-17,1.96,1,318,6,
1105652655127889273,Luminoso piso en Eguzki Begira,184340,Leyre,Vizcaya,Lekeitio,43.3693637955635,-2.5078838198190843,Entire home/apt,176,3,0,,,1,217,0,
1105710514723561880,Opera | The Rentals Collection,15707672,The Rentals Collection,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.322080708066615,-1.9808756955189213,Entire home/apt,438,1,2,2024-05-09,0.77,85,127,2,
1105751869506352476,Nice and quiet flat in Bilbao,364281314,Jorge,Vizcaya,Bilbao,43.2675673,-2.9161003,Entire home/apt,110,2,9,2024-06-26,3.51,1,109,9,EBI02742
1105832983842856094,Matxitxako begira,565540724,Ainhoa,Vizcaya,Bermeo,43.42304755141859,-2.7242235250053026,Entire home/apt,9215,2,0,,,1,269,0,
