Any,Comarca,Tipologia,Habitatges,Capacitat,Entitat privada d'iniciativa social_count,Entitat d'iniciativa pública_count,Entitat privada d'iniciativa mercantil_count,Habitatge acumulat,Capacitat acumulada
1989,Montsià,Llar residència,0,0,,,,0,0
1989,Montsià,Residència,0,0,,,,0,0
1989,Noguera,Llar amb suport,0,0,,,,0,0
1989,Noguera,Llar residència,0,0,,,,0,0
1989,Noguera,Residència,0,0,,,,0,0
1989,Osona,Llar amb suport,0,0,,,,0,0
1989,Osona,Llar residència,0,0,,,,0,0
1989,Osona,Residència,0,0,,,,0,0
1989,Pallars Jussà,Llar amb suport,0,0,,,,0,0
1989,Pallars Jussà,Llar residència,0,0,,,,0,0
1989,Pallars Jussà,Residència,0,0,,,,0,0
1989,Pallars Sobirà,Llar amb suport,0,0,,,,0,0
1989,Pallars Sobirà,Llar residència,0,0,,,,0,0
1989,Pallars Sobirà,Residència,0,0,,,,0,0
1989,Pla d'Urgell,Llar amb suport,0,0,,,,0,0
1989,Pla d'Urgell,Llar residència,0,0,,,,0,0
1989,Pla d'Urgell,Residència,0,0,,,,0,0
1989,Pla de l'Estany,Llar amb suport,0,0,,,,0,0
1989,Pla de l'Estany,Llar residència,0,0,,,,0,0
1989,Pla de l'Estany,Residència,0,0,,,,0,0
1989,Priorat,Llar amb suport,0,0,,,,0,0
1989,Priorat,Llar residència,0,0,,,,0,0
1989,Priorat,Residència,0,0,,,,0,0
1989,Ribera d'Ebre,Llar amb suport,0,0,,,,0,0
1989,Ribera d'Ebre,Llar residència,0,0,,,,0,0
1989,Ribera d'Ebre,Residència,0,0,,,,0,0
1989,Ripollès,Llar amb suport,0,0,,,,0,0
1989,Ripollès,Llar residència,0,0,,,,0,0
1989,Ripollès,Residència,0,0,,,,0,0
1989,Segarra,Llar amb suport,0,0,,,,0,0
1989,Segarra,Llar residència,0,0,,,,0,0
1989,Segarra,Residència,0,0,,,,0,0
1989,Segrià,Llar amb suport,0,0,,,,0,0
1989,Segrià,Llar residència,0,0,,,,0,0
1989,Segrià,Residència,1,93,0.0,0.0,1.0,1,93
1989,Selva,Llar amb suport,0,0,,,,0,0
1989,Selva,Llar residència,0,0,,,,0,0
1989,Selva,Residència,0,0,,,,0,0
1989,Solsonès,Llar amb suport,0,0,,,,0,0
1989,Solsonès,Llar residència,0,0,,,,0,0
1989,Solsonès,Residència,0,0,,,,0,0
1989,Tarragonès,Llar amb suport,0,0,,,,0,0
1989,Tarragonès,Llar residència,0,0,,,,0,0
1989,Tarragonès,Residència,0,0,,,,0,0
1989,Terra Alta,Llar amb suport,0,0,,,,0,0
1989,Terra Alta,Llar residència,0,0,,,,0,0
1989,Terra Alta,Residència,0,0,,,,0,0
1989,Urgell,Llar amb suport,0,0,,,,0,0
1989,Urgell,Llar residència,0,0,,,,0,0
1989,Urgell,Residència,0,0,,,,0,0
1989,Val d'Aran,Llar amb suport,0,0,,,,0,0
1989,Val d'Aran,Llar residència,0,0,,,,0,0
1989,Val d'Aran,Residència,0,0,,,,0,0
1989,Vallès Occidental,Llar amb suport,0,0,,,,0,0
1989,Vallès Occidental,Llar residència,0,0,,,,0,0
1989,Vallès Occidental,Residència,0,0,,,,1,14
1989,Vallès Oriental,Llar amb suport,0,0,,,,0,0
1989,Vallès Oriental,Llar residència,0,0,,,,0,0
1989,Vallès Oriental,Residència,0,0,,,,0,0
1990,Alt Camp,Llar amb suport,0,0,,,,0,0
1990,Alt Camp,Llar residència,0,0,,,,0,0
1990,Alt Camp,Residència,0,0,,,,0,0
1990,Alt Empordà,Llar amb suport,0,0,,,,0,0
1990,Alt Empordà,Llar residència,0,0,,,,0,0
1990,Alt Empordà,Residència,1,44,0.0,0.0,1.0,1,44
